Care Bear Family Child Care,"263 Country Club Drive, San Francisco, CA 94132",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
Carmen's Daycare,"922 Plymouth Ave, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Caye Child Care,"900 Noriega Street, San Francisco, CA 94122",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
CCSF Mission Campus - Child Development Center,"1125 Valencia St., San Francisco, CA 94110",Jairo Guiza,Green,jairo@tandembayarea.org
CCSF Ocean Campus - Orfalea Family Center,"50 Phelan Ave, Bungalow 320, San Francisco, CA 94112",Jairo Guiza,Green,jairo@tandembayarea.org
Centro Las Olas,"3737 26th Street, San Francisco, CA 94110",Jairo Guiza,Green,jairo@tandembayarea.org
Cesar Chavez Early Education School,"825 Shotwell, San Francisco, CA 94110",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
Chibi Chan Preschool,"2507 Pine Street, San Francisco, CA 94115",Jairo Guiza,Green,jairo@tandembayarea.org
Child's Time Preschool,"3061 San Bruno Avenue, San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Children's Council of San Francisco,"445 Church Street, San Francisco, CA 94114",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
"Chinatown ""Little Sprouts"" Child Development Center","831 Broadway, San Francisco, CA 94133",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Chinatown Community Children's Center,"979 Clay Street, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Cleo Wallace Child Growth Center,"71 Turner Terrace, San Francisco, CA 94107",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
Cleveland Elementary School,"455 Athens Street, San Francisco, CA 94107",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
Commodore Stockton Early Education School,"1 Trenton Street, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Compass Children's Center,"144 Leavenworth Street, San Francisco, CA 94102",Jairo Guiza,Yellow,jairo@tandembayarea.org
Compass Clara House,"111 Page Street, San Francisco, CA 94102",Jairo Guiza,Green,jairo@tandembayarea.org
Coo Child Care,"777 7th Avenue, San Francisco, CA 94118",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Daniel Webster Elementary School,"655 De Haro St, San Francisco, CA 94107",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
Delia's Little Angels Family Center,"1457 Revere Ave., San Francisco, CA 94124",Jairo Guiza,Green,jairo@tandembayarea.org
Delta Preschool,"548 Delta Street, San Francisco, CA 94134",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
Dr. Charles R. Drew Early Education School,"50 Pomona Street, San Francisco, CA 94124",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
Dr. Charles R. Drew Elementary School,"50 Pomona Avenuw, San Francisco, CA 94124",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
E.R.Taylor Early Education School,"423 Burrows St., San Francisco, CA 94134",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
El Dorado Elementary School,"70 Delta Street, San Francisco, CA 94134",Jairo Guiza,Red,jairo@tandembayarea.org
Epiphany Parent-Child Center,"100 Masonic Avenue, San Francisco, CA 94118",Jairo Guiza,Green,jairo@tandembayarea.org
Estrada's Family Preschool,"251 Madrid Street, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Excelsior at Guadalupe Early Education School,"859 Prague Street, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Excelsior Family Connections,"60 Ocean Ave, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
FACES-SF Bayview Center,"100 Whitney Young Circle, San Francisco, CA 94124",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
FACES-SF Hayes Valley Center,"305 Buchanan, San Francisco, CA 94115",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
FACES-SF Masonic Center,"1101 Masonic Avenue, San Francisco, CA 94117",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
Fairmount Early Education School,"65 Chenery, San Francisco, CA 94131",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Family Developmental Center,"2730 Bryant Street, San Francisco, CA 94110",Jairo Guiza,Green,jairo@tandembayarea.org
FranDelJa Enrichment Center,"950 Gilman Avenue, San Francisco, CA 94124",Kelsey Gottschalk,Red,kelsey@tandembayarea.org
Frank McCoppin Elementary School,"651 6th Ave, San Francisco, CA 94118",Jairo Guiza,Green,jairo@tandembayarea.org
"Friends of St. Francis Childcare Center, Inc.","50 Belcher Street, San Francisco, CA 94114",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Generations Child Development Center,"1010 Montgomery Street, #6, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Glide Child Care & Family Support,"434 Ellis Street, San Francisco, CA 94102",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Golden Gate Head Start Center,"177 Golden Gate, San Francisco, CA 94102",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Good Samaritan Family Resource Center Preschool,"1294 Potrero, San Francisco, CA 94110",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
Gordon J. Lau Early Education School,"950 Clay Street, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Gordon J. Lau Elementary School,"950 Clay Street, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Grace Cathedral Community Preschool,"1100 California Street, San Francisco, CA 94109",Jairo Guiza,Green,jairo@tandembayarea.org
Grattan Early Education School,"165 Grattan Street, San Francisco, CA 94117",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
Guidry Early Child Education Program,"289 Farallones, San Francisco, CA 94112",Kelsey Gottschalk,Red,kelsey@tandembayarea.org
Happy Face Family Preschool,"631 Hearst, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Helen's Family Day Care,"624 26th Ave., San Francisco, CA 94121",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Hillcrest Elementary School,"810 Silver Avenue, San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Hilltop Developmental Center,"2730 Bryant St., 1st Floor, San Francisco, CA 94110",Jairo Guiza,New,jairo@tandembayarea.org
Holy Family Day Home,"299 Dolores, San Francisco, CA 94103",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Isolina's Preschool and Daycare,"115 Edinburgh, San Francisco, CA 94112",Jairo Guiza,Green,jairo@tandembayarea.org
It Takes a Village,"935 Golden Gate, #E, San Francisco, CA 94102",Jairo Guiza,Green,jairo@tandembayarea.org
Jackie & Her Kids,"757 Grove Street, San Francisco, CA 94102",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Jean Jacobs Head Start Center,"459 Vienna St., San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Jeanne Ng Family Daycare,"29 Castle Manor, San Francisco, CA 94112",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Jefferson Early Education School,"1350 25th Ave, San Francisco, CA 94122",Jairo Guiza,Green,jairo@tandembayarea.org
John McLaren Early Education School,"2055 Sunnydale Ave, San Francisco, CA 94134",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
John Muir Early Education School,"380 Webster, San Francisco, CA 94117",Jairo Guiza,Green,jairo@tandembayarea.org
Jose Ortega Elementary School,"400 Sargent Street, San Francisco, CA 94132",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Judith Baker Child Development Center,"685 Natoma Street, San Francisco, CA 94103",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
Junipero Serra (Annex) Early Education School,"155 Appleton Ave, San Francisco, CA 94110",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Just Like Mom Preschool,"2336 21st Ave, San Francisco, CA 94116",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Kai Ming Broadway Head Start Center,"820 Battery Street, San Francisco, CA 94111",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Kai Ming Geary Head Start Center,"6221 Geary Blvd., San Francisco, CA 94121",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Kai Ming North Beach Head Start Center,"1170 Colombus, San Francisco, CA 94113",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Kai Ming Richmond Head Start Center,"426 33rd Avenue, San Francisco, CA 94121",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Kai Ming St. Luke Head Start Center,"1755 Clay St, San Francisco, CA 94109",Kaitlin Pearce,New,kaitlin@tandembayarea.org
Kai Ming Sunset Head Start Center,"2800 Taraval Street, San Francisco, CA 94116",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Kai Ming TKL Head Start Center,"950 Powell Street, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Kirkwood Head Start Center,"729 Kirkwood Avenue, San Francisco, CA 94124",Jairo Guiza,Green,jairo@tandembayarea.org
KV Child Care,"2864 San Bruno Ave, San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Las Americas Early Education School,"801 Treat Ave, San Francisco, CA 94110",Jairo Guiza,Green,jairo@tandembayarea.org
Leola M. Havard Early Education School,"1520 Oakdale Ave, San Francisco, CA 94124",Jairo Guiza,Red,jairo@tandembayarea.org
Leonard R. Flynn Elementary School,"3125 Cesar Chavez Street, San Francisco, CA 94110",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Lisa's Family Child Care and Learning Center,"414 Waller Street, San Francisco, CA 94117",Jairo Guiza,Green,jairo@tandembayarea.org
Little Children's Developmental Center,"1223 Webster, San Francisco, CA 94115",Jairo Guiza,Green,jairo@tandembayarea.org
Little Sunshine Preschool,"2638 44th Ave, San Francisco, CA 94116",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Lok Yuen Child Development Center,"888 Clay Street, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Magic Wings Day Care,"120 Crespi Dr., San Francisco, CA 94132",Jairo Guiza,Green,jairo@tandembayarea.org
Malcolm X Elementary School,"350 Harbor Road, San Francisco, CA 94124",Jairo Guiza,Red,jairo@tandembayarea.org
Martha Hills Learning Center,"1044 Jamestown Avenue, San Francisco, CA 94124",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
Martin Luther King Childcare,"200 Cashmere Street, San Francisco, CA 94124",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Mei Rong Yan FCC,"110 Foote Ave, San Francisco, CA 94112",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Mio Preschool,"4377 Mission Street, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Mission Bay Head Start Center,"152 Berry Street, San Francisco, CA 94107",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
"Mission Childcare Consortium, Inc.","4750 Mission St., San Francisco, CA 94112",Kelsey Gottschalk,New,kelsey@tandembayarea.org
Mission Kids,"1050 South Van Ness Avenue, San Fracisco, CA 94110",Jairo Guiza,New,jairo@tandembayarea.org
Montessori Children's Center,"80 Juan Bautista Circle, San Francisco, CA 94132",Jairo Guiza,Yellow,jairo@tandembayarea.org
My Little Sunshine Child Care,"542 Burrows Street, San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Nihonmachi Little Friends Bush Street Site,"2031 Bush Street, San Francisco, CA 94115",Jairo Guiza,Green,jairo@tandembayarea.org
Nihonmachi Little Friends Sutter Street Site,"1830 Sutter Street, San Francisco, CA 94115",Jairo Guiza,Green,jairo@tandembayarea.org
Noriega Early Education School,"1775 44th Ave, San Francisco, CA 94122",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
OMI Child Care,"548 Delta Street, San Francisco, CA 94132",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
OMI Head Start Center,"1111 Junipero Serra Blvd., San Francisco, CA 94132",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Oscaryne Williams Infant and Toddler Center,"85 Turner Terrace, San Francisco, CA 94107",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Paul Revere Early Education School,"610 Tompkins Street (Annex) Room 116, San Francisco, CA 94110",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Paul Revere Elementary School,"610 Tompkins Street (Annex), San Francisco, CA 94110",Kelsey Gottschalk,Red,kelsey@tandembayarea.org
Playland Preschool,"1267 38th Avenue, San Francisco, CA 94122",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Portola Family Connections,"2565 San Bruno Avenue, San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Potrero Hill Head Start Center,"824 Carolina Street, San Francisco, CA 94107",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Presidio Early Education School,"387 Moraga Avenue, San Francisco, CA 94129",Jairo Guiza,Green,jairo@tandembayarea.org
Qunijie (Maggie) Fan FCC,"29 Campbell Ave, San Francisco, CA 94134",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
Rainbow Infant Center,"799 Pacific Avenue, San Francisco, CA 94133",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Rainbow Preschool,"799 Pacific Avenue, San Francisco, CA 94133",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Raphael Weill Early Education School,"1501 O'Farrell Street, San Francisco, CA 94115",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
Redding Elementary School,"1424 Pine St., San Francisco, CA 94109",Jairo Guiza,New,jairo@tandembayarea.org
Renee Underwood FCC,"1523 LaSalle, San Francisco, CA 94124",Jairo Guiza,Green,jairo@tandembayarea.org
Robert Louis Stevenson Elementary School,"2051 34th Avenue,, San Francisco, CA 94116",Kaitlin Pearce,New,kaitlin@tandembayarea.org
Rosaura Aceves FCC,"57 Leland Ave, San Francisco, CA 94134",Jairo Guiza,Red,jairo@tandembayarea.org
Rutilia Marroquin FCC,"2833 Folsom St, San Francisco, CA 94110",Jairo Guiza,Green,jairo@tandembayarea.org
Salvation Army Harbor House,"407 9th Street, San Francisco, CA 94103",Kaitlin Pearce,Red,kaitlin@tandembayarea.org
San Francisco Public Montessori,"2340 Jackson Street, San Francisco, CA 94115",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
San Miguel Early Education School,"300 Seneca Ave, San Francisco, CA 94112",Jairo Guiza,Yellow,jairo@tandembayarea.org
Sanchez Early Education School,"325 Sanchez St., San Francisco, CA 94114",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Sanchez Elementary School,"325 Sanchez Street, San Francisco, CA 94114",Kelsey Gottschalk,Red,kelsey@tandembayarea.org
Selina Chen FCC,"2423 29th Avenue, San Francisco, CA 94116",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Shalom School,"862 28th Avenue, San Francisco, CA 94121",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Sheridan Early Education School,"431 Capitol Ave, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Sheridan Elementary School,"431 Capitol Ave, San Francisco, CA 94112",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
Siu Kam Cheung FCC,"1878 Egbert Ave, San Francisco, CA 94124",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Sojourner Truth Development Center,"1 Cashmere Street, San Francisco, CA 94124",Jairo Guiza,Green,jairo@tandembayarea.org
Southeast Families United Center,"1337 Evans Ave, San Francisco, CA 94124",Jairo Guiza,Yellow,jairo@tandembayarea.org
Southeast Head Start Center,"1300 Phelps Street, San Francisco, CA 94124",Jairo Guiza,Green,jairo@tandembayarea.org
Starr King Early Education School,"1215 Carolina Street, San Francisco, CA 94107",Jairo Guiza,Green,jairo@tandembayarea.org
Stevenson Head Start Center,"1330 Stevenson Street, San Francisco, CA 94103",Jairo Guiza,Green,jairo@tandembayarea.org
Sunlight Day Care,"2445 Rivera Street, San Francisco, CA 94116",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Sunnydale Child Development Center,"700 Velasco, San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Sweet Home Child Care,"455 Munich Street, San Francisco, CA 94112",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Telegraph Hill Neighborhood Center Preschool,"660 Lombard Street, San Francisco, CA 94133",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
Tenderloin Community Early Education School,"627 Turk Street, San Francisco, CA 94102",Jairo Guiza,Green,jairo@tandembayarea.org
The Family School,"3101 Mission St, San Francisco, CA 94110",Kaitlin Pearce,Yellow,kaitlin@tandembayarea.org
The Painting Corner Child Care,"2223 Cayuga Ave, San Francisco, CA 94112",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Theresa S. Mahler Early Education School,"990 Church Street, San Francisco, CA 94114",Jairo Guiza,Yellow,jairo@tandembayarea.org
Tracy Liang FCC,"1544 Powell Street, San Francisco, CA 94133",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Treasure Island Child Development Center,"850 Avenue D, Building 502, San Francisco, CA 94130",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
"True Sunshine Preschool Center, Inc.","777 Stockton Street
Room 201, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Tule Elk Park Early Education School,"2110 Greenwich Street, San Francisco, CA 94123",Jairo Guiza,Green,jairo@tandembayarea.org
UCSF Kirkham Child Development Center,"10 Kirkham Street, San Francisco, CA 94143",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Ulloa Elementary,"2650 42nd Ave, San Francisco, CA 94116",Kaitlin Pearce,New,kaitlin@tandembayarea.org
Valencia Gardens Head Start Center,"380 Valencia Street, San Francisco, CA 94103",Jairo Guiza,Green,jairo@tandembayarea.org
Wah Mei School,"1400 Judah Street, San Francisco, CA 94122",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Western Addition Childcare,"1455 Golden Gate Avenue, San Francisco, CA 94115",Kelsey Gottschalk,New,kelsey@tandembayarea.org
Westside,"2400 Post Street, San Francisco, CA 94115",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
Women's Building Head Start Center,"3543 18th Street, San Francisco, CA 94110",Kelsey Gottschalk,Green,kelsey@tandembayarea.org
Wu Yee Home Base- Chinatown Center,"880 Clay Street, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Wu Yee Home Base-Kirkwood Center,"729 Kirkwood Avenue, San Francisco, CA 94124",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Wu Yee Playgroup,"888 Clay Street
Lower Level, San Francisco, CA 94108",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Xiao Ling Liao FCC,"165 Girard Street, San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Xue Lan Kuang FCC,"25 Pueblo St., San Francisco, CA 94134",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
Yerba Buena Gardens Child Development Center,"790 Folsom Street, San Francisco, CA 94107",Kaitlin Pearce,Green,kaitlin@tandembayarea.org
YMCA Mission Preschool,"4080 Mission Street, San Francisco, CA 94112",Jairo Guiza,Green,jairo@tandembayarea.org
YMCA Stonestown - Lutheran Church of Our Savior Preschool,"1011 Garfield St, San Francisco, CA 94132",Jairo Guiza,New,jairo@tandembayarea.org
YMCA Stonestown - St. Francis Preschool,"399 San Fernando Way, San Francisco, CA 94127",Jairo Guiza,Green,jairo@tandembayarea.org
Zaida T. Rodriguez Early Education School,"421 Bartlett Street, San Francisco, CA 94110",Kelsey Gottschalk,Yellow,kelsey@tandembayarea.org
